name;kpi_1;kpi_2;kpi_3;kpi_4;kpi_5;kpi_6;kpi_7;kpi_8;kpi_9;kpi_10;kpi_11;kpi_12;kpi_13;kpi_14;kpi_15;kpi_16;kpi_17;label;DPA_obj;DPA_time;LV_obj;LV_time;DS_obj;DS_time;G_obj;G_time;solver_obj;solver_time
J072-T12-G024-U1-SC1-D1-0001;0,842988;1,124252;0,553863;0,252481;0,685260;0,842988;0,592038;0,092522;0,238635;0,331026;0,430339;61,942430;0,314695;0,404912;0,095516;0,695776;2,415632;2;196060,414281;35,854838;202841,698287;0,200094;186728,946778;1,950268;187890,839303;0,796020;177433,815701;1,368439
J072-T12-G024-U1-SC1-D1-0002;0,691432;0,909708;0,469061;0,198029;0,560582;0,691432;0,486105;0,075936;0,234347;0,332239;0,433414;51,210004;0,456929;0,382653;0,095583;1,344983;2,564728;0;223604,765503;72,859862;229085,326860;0,204883;225613,907237;2,312415;224978,577472;0,965120;223029,384464;0,419876
J072-T12-G024-U1-SC1-D1-0003;0,874404;1,149948;0,571812;0,251700;0,719337;0,874404;0,624603;0,090627;0,243796;0,326025;0,430179;61,060375;0,294561;0,361802;0,089923;0,318958;2,365330;2;242375,608553;37,676364;257071,378871;0,222458;232563,542043;2,142189;235705,069477;0,846052;225069,623856;1,333090
J072-T12-G024-U1-SC1-D1-0004;0,734033;0,961388;0,503216;0,203666;0,602729;0,734033;0,531335;0,075344;0,246244;0,321621;0,432135;51,367773;0,507816;0,466081;0,082825;1,072097;2,707112;0;217975,717494;66,001364;224153,748812;0,268293;219496,485196;2,383936;220010,628990;0,968950;214975,843561;1,121008
J072-T12-G024-U1-SC1-D1-0005;0,680465;0,899419;0,463982;0,195185;0,552147;0,680465;0,475403;0,076032;0,239550;0,331765;0,428685;49,359726;0,534249;0,341711;0,082308;0,662777;2,486726;0;234645,850650;69,901791;240033,521330;0,257257;236851,123122;2,468120;236337,653356;0,961059;233288,600139;0,469744
J072-T12-G024-U1-SC1-D1-0006;0,665373;0,879565;0,438612;0,200670;0,533606;0,665373;0,446298;0,078782;0,236964;0,328011;0,435025;50,195882;0,511405;0,327919;0,068145;1,834787;2,295057;0;252130,689198;70,400713;257987,610874;0,231530;254904,185118;2,481251;255112,589511;1,386294;252425,037004;0,537567
J072-T12-G024-U1-SC1-D1-0007;0,706997;0,926223;0,478138;0,200433;0,573921;0,706997;0,495949;0,078668;0,236004;0,336503;0,427493;51,373520;0,476914;0,449776;0,080537;0,637214;2,955477;0;219997,258267;73,452535;229612,612676;0,387385;223597,000678;2,395579;221764,378241;1,250651;219014,798310;1,237692
J072-T12-G024-U1-SC1-D1-0008;0,712658;0,992930;0,488136;0,209664;0,579549;0,712658;0,505256;0,076069;0,239555;0,330460;0,429985;52,465708;0,398357;0,436393;0,078710;0,476299;2,599104;0;199575,133536;68,803969;203683,508957;0,255487;200246,885115;2,403274;201287,001696;0,983237;198502,383331;0,721073
J072-T12-G024-U1-SC1-D1-0009;0,785651;1,019676;0,513358;0,223514;0,647006;0,785651;0,562130;0,079998;0,240736;0,330653;0,428611;55,221589;0,282712;0,330968;0,078496;0,469590;2,277309;3;233600,110664;46,305326;238861,081453;0,243863;233520,149266;2,249097;233416,718926;0,866427;227313,032031;1,212704
J072-T12-G024-U1-SC1-D1-0010;0,778789;1,060302;0,510353;0,225529;0,635873;0,778789;0,546215;0,082922;0,238465;0,330163;0,431373;56,931618;0,379106;0,314531;0,081347;0,625773;2,374992;3;253611,215643;51,473872;256921,037508;0,250688;253581,924265;2,428608;252712,869041;0,959638;247796,864046;1,075089
J072-T12-G024-U1-SC1-D1-0011;0,759567;1,005702;0,524178;0,220909;0,619035;0,759567;0,539338;0,082525;0,236861;0,335997;0,427142;54,910478;0,470571;0,292892;0,087894;0,694867;2,228273;2;235342,029112;53,758788;242368,194761;0,218623;234938,657652;2,372234;235032,659179;1,037122;233323,078976;0,812832
J072-T12-G024-U1-SC1-D1-0012;0,759217;1,033317;0,516361;0,222273;0,612627;0,759217;0,529923;0,084862;0,235011;0,331630;0,433358;56,952747;0,476344;0,304777;0,090478;1,491803;2,269872;0;240220,410783;60,125364;245763,539213;0,242928;243954,669646;2,224407;241141,825385;1,075693;237758,205834;0,644278
J072-T12-G024-U1-SC1-D1-0013;0,729320;0,967150;0,495315;0,214247;0,592497;0,729320;0,512580;0,078908;0,238078;0,328969;0,432953;53,916910;0,412369;0,346873;0,077473;5,746062;2,539514;0;242150,149177;62,586516;245468,699157;0,238561;243812,528608;2,383791;244507,841623;1,003777;238328,489537;0,439800
J072-T12-G024-U1-SC1-D1-0014;0,759952;1,047504;0,506507;0,225336;0,612400;0,759952;0,526842;0,086943;0,235403;0,328180;0,436417;57,010988;0,441958;0,400379;0,082991;0,958580;2,732447;3;239562,261835;56,367957;246508,520756;0,255488;240372,329978;2,345324;239180,439264;1,058166;233894,126909;0,867918
J072-T12-G024-U1-SC1-D1-0015;0,721659;0,955620;0,487730;0,204013;0,588553;0,721659;0,509406;0,080759;0,235294;0,340501;0,424206;50,718243;0,392705;0,276656;0,075449;6,040739;2,172249;0;241269,183968;65,077099;247938,330332;0,240514;243159,447408;2,375695;243085,205188;0,999459;240723,112651;0,460726
J072-T12-G024-U1-SC1-D1-0016;0,719457;0,978413;0,467773;0,220465;0,573056;0,719457;0,479804;0,086651;0,234688;0,326859;0,438453;56,062550;0,415481;0,396684;0,082175;0,567363;2,697625;0;230033,420370;67,620148;236003,620995;0,261506;233479,159960;2,749976;232088,123765;1,054538;228886,927794;0,600395
J072-T12-G024-U1-SC1-D1-0017;0,728662;0,982062;0,502869;0,208920;0,596983;0,728662;0,520876;0,079940;0,238288;0,340620;0,421092;50,560252;0,503395;0,361565;0,077087;1,290521;2,386754;0;233725,948913;63,258749;237292,050832;0,305948;234831,036039;2,491323;234991,797468;0,980543;231146,639996;0,628319
J072-T12-G024-U1-SC1-D1-0018;0,839374;1,131041;0,576231;0,240696;0,680015;0,839374;0,576231;0,096370;0,236705;0,333627;0,429669;60,497315;0,358640;0,432739;0,075845;0,537131;2,672638;2;230620,895796;42,424755;238518,120893;0,273484;225958,526779;2,075135;229160,771882;0,840098;215855,943835;1,994669
J072-T12-G024-U1-SC1-D1-0019;0,855756;1,128422;0,570476;0,246787;0,696436;0,855756;0,608371;0,093076;0,238653;0,330415;0,430932;61,802083;0,326347;0,444373;0,081305;0,708423;2,690885;2;221828,217088;45,146445;235561,100710;0,283217;217312,010662;2,620704;219065,286829;0,871811;208975,164348;2,011625
