name;kpi_1;kpi_2;kpi_3;kpi_4;kpi_5;kpi_6;kpi_7;kpi_8;kpi_9;kpi_10;kpi_11;kpi_12;kpi_13;kpi_14;kpi_15;kpi_16;kpi_17;label;DPA_obj;DPA_time;LV_obj;LV_time;DS_obj;DS_time;G_obj;G_time;solver_obj;solver_time
J108-T18-G036-U1-SC1-D1-0001;0,719156;0,957802;0,463967;0,222969;0,567101;0,719156;0,463967;0,089375;0,226932;0,338602;0,434466;55,960367;0,422671;0,445632;0,079846;2,022999;2,703804;0;499022,259505;840,100713;521467,183564;0,511126;533195,436695;10,352589;503644,386588;3,550570;494089,288434;1,964310
J108-T18-G036-U1-SC1-D1-0002;0,774519;1,033646;0,509788;0,233019;0,620597;0,774519;0,533948;0,087208;0,233616;0,332642;0,433742;58,084703;0,467594;0,446159;0,081900;1,650532;2,724415;0;484126,781357;577,384300;493181,307553;0,593633;484378,134688;10,378223;487954,192835;3,395251;476297,321112;2,936531
J108-T18-G036-U1-SC1-D1-0003;0,751461;1,009601;0,481440;0,228147;0,600096;0,751461;0,511702;0,086121;0,233252;0,332534;0,434214;57,163220;0,458755;0,434129;0,074699;0,601299;2,601855;0;505180,906390;729,898199;524530,835187;0,594034;511561,604737;10,412662;509018,848928;3,367618;500886,061820;2,295856
J108-T18-G036-U1-SC1-D1-0004;0,752881;0,999400;0,498732;0,222328;0,610401;0,752881;0,531600;0,078571;0,239808;0,328683;0,431509;54,966590;0,356473;0,386560;0,079556;0,621352;2,392527;0;472970,115630;739,609371;492073,273676;0,581846;476953,948830;10,471678;475660,192768;3,394468;466805,351728;2,336290
J108-T18-G036-U1-SC1-D1-0005;0,808209;1,085048;0,527208;0,236312;0,654508;0,808209;0,562067;0,088627;0,239402;0,334380;0,426219;57,745581;0,370893;0,371945;0,087699;0,799493;2,432930;2;519892,516124;464,808238;553571,770391;0,569211;508922,266504;8,445967;512498,520797;2,833804;482695,878524;2,525772
J108-T18-G036-U1-SC1-D1-0006;0,766267;1,020234;0,511561;0,219989;0,624336;0,766267;0,546696;0,080878;0,239595;0,336214;0,424191;54,172871;0,381077;0,459264;0,082332;1,077143;2,652086;0;426359,830018;699,185516;434634,109532;0,611117;430575,007621;10,887201;428201,998735;3,786989;421430,364729;3,744535
J108-T18-G036-U1-SC1-D1-0007;0,757730;0,997101;0,504918;0,226015;0,606703;0,757730;0,522336;0,086725;0,232118;0,335933;0,431949;56,803406;0,370928;0,418204;0,074358;0,579355;2,586526;0;481000,557741;1010,307214;498154,052898;0,649161;481611,714358;17,739749;481832,657475;4,970367;474173,909315;2,653214
J108-T18-G036-U1-SC1-D1-0008;0,855402;1,150010;0,578661;0,253714;0,682537;0,855402;0,587174;0,099140;0,232494;0,333188;0,434318;64,612135;0,390421;0,388198;0,082481;1,718407;2,616288;3;513717,534170;720,206682;548616,611089;0,968422;483379,235294;14,637523;482189,704463;5,499260;468015,003122;3,536037
J108-T18-G036-U1-SC1-D1-0009;0,831261;1,133566;0,548420;0,249347;0,665500;0,831261;0,548420;0,096366;0,235075;0,335982;0,428943;61,471292;0,431781;0,433708;0,074193;0,683057;2,538029;2;538202,633500;721,283040;570689,807639;0,967620;513082,328723;14,424624;513899,540888;4,681941;495615,829743;4,675392
J108-T18-G036-U1-SC1-D1-0010;0,722207;0,953959;0,487362;0,219316;0,573676;0,722207;0,490939;0,085366;0,228802;0,336624;0,434573;55,497987;0,470551;0,328588;0,088712;0,749241;2,348535;0;509582,471972;948,671013;527168,244164;0,827706;515188,228986;10,741867;511461,580756;3,667274;504551,384634;2,460762
J108-T18-G036-U1-SC1-D2-0001;0,814573;1,317707;0,314164;0,305526;0,564498;0,814573;0,314164;0,152390;0,189037;0,332813;0,478151;88,333369;0,398735;0,407477;0,110478;0,660768;2,678458;3;573441,418503;589,624122;571577,020960;0,755361;538159,394623;10,186068;530489,212191;3,819652;516269,551397;5,845808
J108-T18-G036-U1-SC1-D2-0002;0,807713;1,288446;0,320412;0,294617;0,565576;0,807713;0,320412;0,148777;0,192347;0,334248;0,473404;85,177034;0,397020;0,389084;0,148302;0,958169;2,658919;3;561933,886027;603,420082;557399,689648;0,779634;535433,345087;10,271002;526684,486889;3,691851;516825,509799;12,760664
J108-T18-G036-U1-SC1-D2-0003;0,769166;1,237926;0,299308;0,286529;0,534361;0,769166;0,299308;0,143426;0,189638;0,333370;0,476992;82,841036;0,440172;0,372984;0,135676;0,631562;2,648531;3;533824,674944;671,176116;529130,991614;0,714640;519980,264772;10,182686;513675,254303;3,716239;510593,598817;3,832985
J108-T18-G036-U1-SC1-D2-0004;0,666186;1,076173;0,256956;0,249185;0,462018;0,666186;0,256956;0,124671;0,189223;0,333259;0,477518;72,044018;0,493057;0,373932;0,145314;0,721473;2,477733;3;530337,396680;785,533091;522523,953414;0,657037;523277,975901;10,303038;521158,339665;3,516823;519787,714509;2,434647
J108-T18-G036-U1-SC1-D2-0005;0,782773;1,283262;0,283328;0,304938;0,532863;0,782773;0,283328;0,152677;0,182905;0,333904;0,483192;88,163243;0,399410;0,390641;0,119676;0,921255;2,608058;3;559915,846111;621,172004;551311,499474;0,752735;541540,941964;10,263772;530750,242198;3,636192;526195,201205;3,756535
J108-T18-G036-U1-SC1-D2-0006;0,903568;1,463401;0,345866;0,340193;0,625091;0,903568;0,345866;0,169734;0,188696;0,332471;0,478833;98,355428;0,379808;0,398891;0,143891;1,051575;2,849086;3;792390,015549;485,339187;795904,741392;0,873950;736572,621208;10,373530;694437,714262;4,443698;647301,929271;29,609831
J108-T18-G036-U1-SC1-D2-0007;0,695874;1,131947;0,257842;0,265551;0,477929;0,695874;0,257842;0,133537;0,186240;0,333642;0,480118;76,775031;0,460744;0,335509;0,142577;0,922169;2,507496;3;566557,461773;766,256813;557436,156319;0,647928;560399,640915;10,143899;557333,808743;3,511408;556469,336887;2,399014
